"sbd","van","ngoaingu","toan"
1076,6,6.25,4.5
1077,7.5,4.25,1.75
1078,6.75,5.75,4.25
1080,6.75,5.75,5
1081,8.5,7.25,6
1082,6.75,2.5,3.75
1083,6.5,3.5,1
1084,8.75,9.75,8
1085,5.75,4,3.75
1086,7.5,7.5,5.25
1087,7,7.75,5
1088,8.25,4.75,4
1089,7.75,6.25,5.5
1090,7.75,4.25,5.5
1091,5.25,4,4
1092,8,9,6.5
1093,7.25,9.25,5.5
1094,6.5,5.75,3.75
1095,7,6.5,6
1096,7.5,5.5,6.5
1098,7.5,5.5,5
1099,8,8.25,5
1100,7,7.25,6.75
1102,7.75,7.75,3.5
1103,5.25,4.5,3.75
1104,8,7,5.75
1105,7,6.75,5.25
1106,6.75,4.25,4
1107,7.25,7,3.5
1108,5.75,6.75,5.25
1109,8,7.75,5.75
1110,7.5,8.75,5
1111,7.75,6.5,5
1112,7.5,9,2.5
1113,7.25,9,6.75
1114,4.5,6.75,5.75
1115,7,9.25,5.5
1116,8,3.25,4.75
1119,7.75,5.25,5.75
1120,6.75,9.5,6.5
1121,7.5,8.5,6
1122,5.75,2,3.25
1123,6.75,9.25,6
1124,7.25,9,7
1125,5.5,3.75,3
1126,6.5,8.25,7.25
1127,5,5.25,3
1128,5.25,5.25,2.25
1129,5.5,4.5,2.75
1130,7.25,4.75,3.75
1131,6.5,8.25,5.25
1132,8.25,9,7
1133,6.75,8.25,5.25
1134,7,3.75,4.5
1136,7,6,3.5
1137,5,3.75,3.75
1138,6,6.25,5.25
1139,8,7.75,7
1140,6.75,9,4.25
1141,6.5,8.5,7.25
1142,7,7.25,4.25
1144,7,9.75,8
1145,8.25,8.5,8
1146,7.25,4.5,3
1147,7.75,7.25,2.75
1148,7.5,8.25,7.25
1149,8.75,7.5,4.5
1150,8.25,9,5
1151,7.25,6,5.75
1152,7.75,5.25,5
1153,8.75,9.5,6
1154,7.75,7.25,4
1155,7,5.75,4.5
1157,7,4,5.5
1158,8,7.25,4.75
1159,7,6.5,6.75
1160,7,4.75,3.25
1161,6.5,4.25,5.75
1162,8.25,6.25,6.25
1163,5.75,3.5,1.75
1164,5,8.75,4.25
1165,7,5.25,4.5
1166,6.25,5,3.5
1167,7.25,4,5.25
1168,7.5,6.5,4.75
1169,5.75,7.75,5.5
1170,8.25,9.5,7.25
1172,7,3.75,2.75
1173,6.5,6.75,5
1174,7.25,7,5
1175,6.75,3.5,2.25
1176,6,4.75,3
1177,7,6.5,4.25
1178,8.25,7,6.25
1179,5.25,4.25,5.25
1180,6.5,5.25,3
1181,8.25,7.75,7.25
1182,7,5.25,4.25
1183,7,7.75,4.5
1184,6.75,8.5,4.75
1185,4.5,7,3
1186,6.75,5.5,5
1187,6.25,3.25,4.75
1188,6.75,5,3.5
1189,6.25,4,4.25
1190,6.75,3,2
1191,7.75,5.25,0.75
1192,8.75,9,8
1193,6.25,6.25,2.75
1194,7.5,6.75,5.5
1195,7.25,7.25,6
1196,6.25,4.25,2.25
1197,7.5,7.75,6
1198,4.25,6,5
1199,8,7,2.75
