"sbd","van","ngoaingu","toan","chuyen"
90452,7.25,9.75,5,4.5
90453,7.25,10,7,6.25
90454,7.5,9.5,7.5,5.25
90455,7.25,9,8.5,3
90456,7.25,8,6,2.5
90457,8,10,7.5,5.25
90458,8,10,7.75,7.25
90459,8.5,10,8,7.75
90460,7.75,9,8,3.25
90461,7.75,9.25,7,3.75
90462,7.75,9.5,6.75,5
90463,8,9.75,6.25,3.25
90464,8,9.75,6.5,4
90465,7,9.25,8,4.25
90466,7,10,7,5.25
90468,8.25,9.25,7.5,3
90469,8,9.5,7.5,2.5
90470,8,10,8.25,7
90471,8,10,6,3.5
90472,8.5,8.75,5.5,2.75
90473,7.5,9.25,8.5,2.25
90474,8,9.75,6.5,6
90475,7.5,8.75,6.25,2.5
90476,8,8.25,6.75,2
90477,7.5,8.25,6.75,2.5
90478,8,9.5,7.25,4.5
90479,7.75,9.5,7.75,7.25
90480,8,9.75,7.75,5.25
90481,6.5,9.75,7.25,5.75
90482,8.25,10,9.25,5.25
90484,7.25,9.25,4.75,4
90485,8.5,9.5,7.5,2.75
90486,8,8,6.25,3.25
90487,8,10,6.75,6
90488,7.25,10,7,4
90489,8.75,9.5,8,6.25
90490,7.75,10,7.25,3.5
90491,7.75,9.25,7.5,5
90492,8,9.75,6.5,4.5
90493,8.75,9.5,7,4.25
90494,8,9,5.5,3.75
90495,7.5,9.75,8.75,4
90496,8.25,9.5,7.25,4.75
90497,8.5,9.5,7.25,3.5
90498,7.75,9.75,7,3
90499,8.25,9.5,8.5,5.25
90500,8.75,9.25,8,5
90501,7.75,9.75,6,5.25
90502,8.5,10,8,5
90503,7,9,7.5,2.5
90504,8,9.25,7.25,2
90505,8.5,9.5,8.25,5.25
90506,8.5,9.25,7.75,2.5
90507,7.5,7.5,6,2.25
90508,8.25,10,7.25,5
90509,7,8.75,7.25,2
90510,8.5,9.25,8,3.25
90511,8.75,7.75,8,2.25
90512,8.75,9.5,7.75,3
90513,7,9.75,7.5,4.25
90514,7.5,9.5,8,2.5
90515,9,9.5,7.5,5.75
90516,8.75,9.75,6,4.25
90517,7.75,8.5,7.25,2.5
90518,9,10,7,6.25
90519,8,9.25,5.75,3.75
90520,7.75,9.5,7.25,1.75
90521,8,9.5,7,5.5
90522,7.25,10,7.25,5.25
90523,7.75,10,7,8
90524,7.75,10,8.25,5.75
90525,6.5,9,7.5,3.5
90526,8,9.75,6.25,5.25
90527,7,9.75,7.5,5
90528,7.5,9.25,8.5,3
90529,7.75,6.75,5.75,2.5
90530,7.5,7.75,7,2.5
90531,8.5,9.75,6.5,5
90532,8,10,7.25,5.5
90533,8.25,9.5,8.25,3.5
90534,7.75,10,7,3
90535,8.5,9.75,7.75,6.25
90536,8.5,8,7,1.75
90537,8,10,7,5
90538,6.25,5.5,6,1.25
90539,8.25,9.5,7,3.75
90540,7.75,8.5,5,2.25
90541,8,9.75,8,5.25
90542,8.5,8.75,7.5,1.75
90543,8.5,8,8,2
90544,6.75,9,6.5,4.75
90545,8,8,5.5,4.5
90546,9,9,7.5,3.25
90547,8.25,8.75,8,3.5
90548,8.5,10,7.75,7
90549,7.75,9.75,5.75,5.5
90550,7.75,8,8.5,3
90551,5.5,9.75,6.25,6.75
90552,8.5,9.25,7.75,3.5
90553,7.75,9.75,7.25,6.5
90554,7.75,9.25,8.75,2.75
90555,8.25,8.75,8,2.5
90556,7.5,9,6.75,2.75
90557,7.5,9,6.5,3.25
90558,8.5,9.5,8.5,5.75
90559,8.5,9.75,6.75,5
90560,8.5,8.5,7.75,1.5
90561,8,9.5,7,3.25
90563,7.75,9.75,5,2.75
90564,8,9.25,6.5,2.25
90565,8,10,7.25,5.75
90566,8.25,9.75,7,8.5
90567,8.5,9.75,6.5,2.5
90568,7.75,10,6.25,3
90569,8,10,7.25,5
90570,9,9.25,7.5,4.5
90571,9,9.5,5.25,4.5
90572,7.5,9,7,3.25
90573,8.75,9.5,7.25,4
90574,9,10,5.5,4
90575,8.25,9.25,7.5,2.25
90576,8.75,9.25,5.5,3.25
90577,7.5,9,7.5,2.25
90578,8.25,8.75,7.25,4.5
90579,8.25,9.75,6,4
90580,8,8.5,6,2.25
90581,7.5,9.75,6.25,3
90582,7.75,8.25,5,2.25
90583,7.5,9.25,8.5,3.5
90584,8,9.5,8.75,2.75
90585,9,9.75,8.75,5
90586,8.25,9.75,8,4.5
90587,8,8.75,7.5,4
90588,8.75,9.5,7,4.25
90589,7,8.75,5.5,2.25
90590,7.5,8.25,6.5,2.25
90591,8,10,6,6.75
90592,8.75,9.75,7.5,3.75
90593,7.75,9.75,6.5,4.25
90594,7.5,10,7.5,4.5
90595,7.25,8,7.25,2.75
90596,7.25,9,5.5,2
90597,7.75,8.5,7.75,2.25
90598,7.25,9.75,7.5,5.25
90599,8.25,8.75,6.75,5
90600,8,9.5,8.75,2.75
90601,8.75,8.25,7.25,2.75
90602,8,10,6.75,5
90603,7.5,9,7,6
90604,8.25,9,8,4
90605,8.25,8.75,8.75,5.5
90606,7.5,9,6,2.25
90607,8.5,8.75,6.75,3.5
90608,8.75,9.25,6.75,2.5
90609,8,9.75,6.75,6.75
90610,6.75,9.75,7,2.25
90611,7.5,9.75,7.75,7
90612,8.75,9.5,8.5,6.5
90613,8,8.75,7.75,4.25
90614,8.75,9.25,7.25,5.5
90615,7.75,7.25,7,2
90616,8.75,10,7.25,2.5
90617,8.25,9.75,7.5,6
90618,8.5,9,8,3
90619,8.75,9,8,3.25
90620,8.25,9.5,8.75,4.25
90621,8,8.5,5.25,2.25
90622,8.75,10,8,4.75
90623,8.75,9.75,6.5,2.75
90624,7.5,9,7.25,2.75
90625,5.75,8.75,6,4
90626,8,9,7.25,3.5
90627,7.25,9.25,6,3.25
90628,7.75,9.75,6.5,4.25
90629,6,8.25,6,1.25
90630,7.5,9.75,7,6.5
90631,7.25,9.75,7.25,4.5
90632,7,9.5,7.25,6
90633,7.5,9.5,8.75,5
90634,8.25,9.75,7.25,4.75
90635,6.75,8,6.5,2.25
90636,8.25,10,8,5.5
90637,6.5,9.5,5.5,3
90638,7,8.5,5,3.75
90639,7,8,6.75,3.75
90640,6.5,10,7.25,5.5
90641,6.75,9.5,7.25,2.25
90642,7,10,7.75,7
90643,7.25,7.5,6.75,3
90644,6.25,9.5,8.25,6
90645,6.75,9.5,7,2.75
90646,7.75,9,8.25,5.5
90647,6,8.5,5.75,3.75
90648,7.25,9.5,7.5,1.75
90649,6.75,8.5,7.5,1.5
90650,6.5,9.75,8,2.5
90651,8,9.25,5.75,4.25
90652,8,10,6.75,3.25
90653,6.5,8,5.75,3.5
90654,6,9,7.75,2.5
90655,8.25,9.75,8.75,5
90656,7.5,9.5,8.5,6
90657,7.25,10,6.25,6.75
90658,7.5,9,5.25,3.5
90659,8.25,10,7.25,8
90660,8,9.75,7.5,7.25
90661,7.5,10,6,5
90662,8.5,7.5,6.75,2
90663,8,10,7.25,4.25
90664,8.75,9.5,7.25,3.5
90665,8,9.5,7.5,3.25
90666,8.75,10,8,6.5
90667,7.25,9.75,7.5,4.25
90668,8.75,9.75,7.5,4
90669,8.25,9.75,7.25,3.75
90670,8,9.5,8,5.75
90671,7.5,9.75,7.5,3
90672,8.25,9.25,6.25,3.5
90673,7.75,9.75,7.25,4.75
90674,7.75,10,7.75,3.75
90675,7.25,9,7.5,3.25
90676,8.75,9.75,6.75,3.5
90677,7.75,8.75,8,3.5
90678,8.25,9.25,7.5,4
90679,8.5,9.25,8,4
90680,8.5,9.75,8.5,3.25
90681,8,9.75,8.5,7
90682,7.25,10,7.25,6
90683,8.25,9.25,7,3.75
90684,8.5,8.75,7.25,2.75
90685,8,10,7,5.75
90686,6.5,10,7.25,2.75
90687,8.25,9,8,3.5
90688,7.75,10,9.5,7.5
90689,8.25,7.75,7.5,3.5
90690,7.5,9.5,6.75,3.25
90691,8,8.25,7.75,3.25
90692,8.5,9.75,8,6.5
90693,7,9.5,6,6.25
90694,8.25,9,7.25,3
90695,7.75,9.75,7.25,7.75
90696,8,9.5,7.25,3.5
90697,7.5,9,7.25,2.75
90698,8.25,9.75,7.25,4.5
90699,7.25,9.25,8,2.75
90700,6.25,9.75,4.25,7.5
90701,7.25,9.25,7,3.5
90702,7.75,8.5,6.75,4.25
90703,7.25,9.75,7.25,7.25
90704,8.25,9.5,7.75,4.25
90705,7.75,7.75,7,2.25
90706,8.25,10,8.75,5.75
90707,7.75,9.25,8,3.25
90708,8,9.25,6,3
90709,7.5,9.5,7,2.75
90710,8,9.75,6,4.25
90711,8,9.25,7,1.75
