"province","year","fire_damage"
"Bà Rịa - Vũng Tàu",2005,5.8
"TP.Hồ Chí Minh",2005,0.3
"Long An",2005,553.5
"Tiền Giang",2005,272.2
"Bến Tre",2005,0
"Đồng Tháp",2005,6.2
"An Giang",2005,41.2
"Kiên Giang",2005,446
"Cần Thơ",2005,0
"Hậu Giang",2005,2.3
"Sóc Trăng",2005,0.9
"Bạc Liêu",2005,0
"Cà Mau",2005,77
"Hà Nội",2006,32
"Hà Tây",2006,0.5
"Vĩnh Phúc",2006,22.5
"Bắc Ninh",2006,0
"Quảng Ninh",2006,363.1
"Hải Dương",2006,21.5
"Hải Phòng",2006,2.2
"Hà Nam",2006,0
"Ninh Bình",2006,0
"Hà Giang",2006,335.3
"Cao Bằng",2006,73.9
"Bắc Kạn",2006,9.7
"Tuyên Quang",2006,51.9
"Lào Cai",2006,8.9
"Yên Bái",2006,149.3
"Thái Nguyên",2006,30
"Lạng Sơn",2006,137.6
"Bắc Giang",2006,48.4
"Phú Thọ",2006,22.7
"Điện Biên",2006,34.2
"Lai Châu",2006,153.7
"Sơn La",2006,40
"Hoà Bình",2006,2
"Thanh Hoá",2006,13.8
"Nghệ An",2006,108.5
"Hà Tĩnh",2006,63
"Quảng Bình",2006,5.7
"Quảng Trị",2006,26.4
"Thừa Thiên - Huế",2006,53.4
"Đà Nẵng",2006,33
"Quảng Nam",2006,19.5
"Quảng Ngãi",2006,62
"Bình Định",2006,70
"Phú Yên",2006,5.5
"Khánh Hoà",2006,0
"Ninh Thuận",2006,0
"Bình Thuận",2006,1
"Kon Tum",2006,178.4
"Gia Lai",2006,27.4
"Đắk Lắk",2006,0
"Đắk Nông",2006,9
"Lâm Đồng",2006,17.8
"Bình Phước",2006,23
"Tây Ninh",2006,6
"Bình Dương",2006,2
"Đồng Nai",2006,6.7
"Bà Rịa - Vũng Tàu",2006,0.5
"TP.Hồ Chí Minh",2006,0.1
"Long An",2006,24
"Tiền Giang",2006,0
"Bến Tre",2006,0
"Đồng Tháp",2006,0.3
"An Giang",2006,0
"Kiên Giang",2006,85
"Cần Thơ",2006,0
"Hậu Giang",2006,0.3
"Sóc Trăng",2006,0
"Bạc Liêu",2006,0
"Cà Mau",2006,5
"Hà Nội",2007,10
"Hà Tây",2007,1.1
"Vĩnh Phúc",2007,24.9
"Bắc Ninh",2007,0
"Quảng Ninh",2007,916
"Hải Dương",2007,24
"Hải Phòng",2007,0.7
"Hà Nam",2007,0
"Ninh Bình",2007,2.5
"Hà Giang",2007,97.8
"Cao Bằng",2007,75.8
"Bắc Kạn",2007,4.9
"Tuyên Quang",2007,82.6
"Lào Cai",2007,43
"Yên Bái",2007,709.2
"Thái Nguyên",2007,21
"Lạng Sơn",2007,251.8
"Bắc Giang",2007,59
"Phú Thọ",2007,13.9
"Điện Biên",2007,151.8
"Lai Châu",2007,360.2
"Sơn La",2007,1188
"Hoà Bình",2007,0
"Thanh Hoá",2007,0
"Nghệ An",2007,27.9
"Hà Tĩnh",2007,65
"Quảng Bình",2007,17.1
"Quảng Trị",2007,137.1
"Thừa Thiên - Huế",2007,6.6
"Đà Nẵng",2007,7
"Quảng Nam",2007,25
"Quảng Ngãi",2007,8.2
"Bình Định",2007,23.6
"Phú Yên",2007,9.4
"Khánh Hoà",2007,2
"Ninh Thuận",2007,0
"Bình Thuận",2007,0
"Kon Tum",2007,249.9
"Gia Lai",2007,158.6
"Đắk Lắk",2007,2
"Đắk Nông",2007,0
"Lâm Đồng",2007,10.2
"Bình Phước",2007,3
"Tây Ninh",2007,17.2
"Bình Dương",2007,2
"Đồng Nai",2007,0
"Bà Rịa - Vũng Tàu",2007,0
"TP.Hồ Chí Minh",2007,0
"Long An",2007,107
"Tiền Giang",2007,25.2
"Bến Tre",2007,0
"Đồng Tháp",2007,2.4
"An Giang",2007,25
"Kiên Giang",2007,86.8
"Cần Thơ",2007,0
