A45 AMG,Mercedes,Hatchback,Nhập khẩu,2.249,2.204,2.0 I4,381,475
C200,Mercedes,Sedan,Lắp ráp,1.479,1.449,2.0 I4,181,300
C250,Mercedes,Sedan,Lắp ráp,1.679,1.645,2.0 I4,208,350
C300 Coupe,Mercedes,Coupe,Lắp ráp,2.699,2.645,2.0 I4,241,370
CLA200,Mercedes,Coupe 4 cửa,Nhập khẩu,1.529,1.529,1.6 I4,154,250
CLA250,Mercedes,Coupe 4 cửa,Nhập khẩu,1.869,1.869,2.0 I4,208,350
E200,Mercedes,Sedan,Lắp ráp,2.099,2.092,2.0 I4,184,300
E300 AMG,Mercedes,Sedan,Nhập khẩu,3.049,3.049,2.0 I4,245,370
GLA200,Mercedes,SUV,Nhập khẩu,1.519,1.519,1.6 I4,154,250
GLA250 4Matic,Mercedes,SUV,Nhập khẩu,1.749,1.739,2.0 I4,208,350
GLA45 AMG 4Matic,Mercedes,SUV,Nhập khẩu,2.279,2.279,2.0 I4,355,450
GLE400 4Matic Coupe,Mercedes,SUV-Coupe,Nhập khẩu,3.999,3.821,3.0 V6,329,480
GLE450 AMG 4Matic Coupe,Mercedes,SUV-Coupe,Nhập khẩu,4.469,4.379,3.0 V6,362,520
GLE400 4Matic,Mercedes,SUV,Nhập khẩu,3.599,3.527,3.0 V6,329,480
Mercedes-Maybach S600,Mercedes,Sedan,Nhập khẩu,14.169,13.885,6.0 V12,523,830
S400L,Mercedes,Sedan,Lắp ráp,3.939,3.939,3.0 V6,329,480
S500L,Mercedes,Sedan,Lắp ráp,6.539,6.539,4.7 V8,449,700
S500 4Matic Coupe,Mercedes,Coupe,Nhập khẩu,10.479,10.479,4.7 V8,449,700
GLC250 4Matic,Mercedes,SUV,Lắp ráp,1.789,1.789,2.0 I4,211,350
GLC300 4Matic,Mercedes,SUV,Lắp ráp,2.039,2.039,2.0 I4,245,370
S500 Cabriolet,Mercedes,Convertible,Nhập khẩu,10.799,10.799,4.7 V8,455,700
SLC43 AMG,Mercedes,Convertible,Nhập khẩu,3.619,3.546,3.0 V6,367,520
SL400,Mercedes,Convertible,Nhập khẩu,6.709,6.574,3.0 V6,367,500
A250 Motorsport Edition,Mercedes,Hatchback,Nhập khẩu,1.958,1.958,2.0 I4,208,350
C300 AMG,Mercedes,Sedan,Lắp ráp,1.889,1.889,2.0 I4,241,370
GLE400 4Matic Exclusive,Mercedes,SUV,Nhập khẩu,3.899,3.899,3.0 V6,329,480
GLS350d 4Matic,Mercedes,SUV,Nhập khẩu,4.029,4.029,3.0 V6,258,620
GLS400 4Matic,Mercedes,SUV,Nhập khẩu,4.399,4.399,3.0 V6,333,480
GLS400 4Matic,Mercedes,SUV,Nhập khẩu,7.829,7.829,4.7 V8,455,700
GLS63 AMG 4 Matic,Mercedes,SUV,Nhập khẩu,11.949,11.949,5.5 V8,585,760
V220d Avantgarde,Mercedes,MPV,Nhập khẩu,2.569,2.569,2.1 I4,163,380
V250 Advantgarde,Mercedes,MPV,Nhập khẩu,2.569,2.569,2.0 I4,211,350
Vito Tourer 121,Mercedes,MPV,Nhập khẩu,1.849,1.849,2.0 I4,211,350
Macan,Porsche,SUV,Nhâp khẩu,2.972,2.912,2.0 I4,237,350
Macan S,Porsche,SUV,Nhâp khẩu,3.379,3.311,3.0 V6,340,460
Macan GTS,Porsche,SUV,Nhập khẩu,3.962,3.882,3.0 V6,360,500
Macan Turbo,Porsche,SUV,Nhập khẩu,5.04,4.939,3.6 V6,400,550
Cayenne,Porsche,SUV,Nhập khẩu,4.418,4.329,3.6 V6,300,400
Cayenne S,Porsche,SUV,Nhập khẩu,5.573,5.461,3.6 V6,420,550
